Date,Left_team,Right_team,Left_score,Right_score,Tournament,Left_overall,Right_overall,Left_attack,Right_attack,Left_midfield,Right_midfield,Left_deffense,Right_deffense,Left_bu_speed,Right_bu_speed,Left_bu_passing,Right_bu_passing,Left_bu_positioning,Right_bu_positioning,Left_cc_crossing,Right_cc_crossing,Left_cc_passing,Right_cc_passing,Left_cc_shooting,Right_cc_shooting,Left_cc_positioning,Right_cc_positioning,Left_aggression,Right_aggression,Left_pressure,Right_pressure,Left_avg_age,Right_avg_age,win
5/30/2014,Spain,Bolivia,2,0,Friendly,85,63,86,69,86,55,83,63,37,33,40,30,Organised,Organised,37,32,41,29,56,49,Free Form,Organised,50,45,37,34,27,25,1
5/30/2014,Uruguay,Northern Ireland,1,0,Friendly,78,68,83,68,76,67,76,68,75,58,55,56,Organised,Organised,32,45,50,50,67,62,Organised,Organised,46,50,31,40,28,27,1
5/31/2014,Italy,Ireland,0,0,Friendly,82,73,82,75,82,74,80,71,45,45,49,45,Organised,Organised,70,50,66,40,53,50,Organised,Organised,59,40,46,40,27,28,0
5/31/2014,Mexico,Ecuador,3,1,Friendly,75,72,79,72,73,74,75,67,53,50,54,50,Organised,Organised,58,50,68,65,40,50,Organised,Organised,58,55,46,35,26,27,1
5/31/2014,Russia,Norway,1,1,Friendly,77,72,78,71,77,73,75,70,45,70,45,59,Organised,Organised,74,52,70,68,49,61,Organised,Organised,47,47,47,33,26,24,0
5/31/2014,Portugal,Greece,0,0,Friendly,80,74,82,74,79,72,80,75,55,52,31,56,Organised,Organised,52,60,30,51,48,52,Free Form,Organised,47,37,47,24,27,27,0
6/1/2014,France,Paraguay,1,1,Friendly,82,74,84,78,80,73,80,70,48,33,36,52,Organised,Organised,52,32,49,33,52,48,Organised,Organised,46,45,36,33,26,30,0
6/1/2014,Germany,Cameroon,2,2,Friendly,84,76,82,75,85,75,81,76,63,40,40,44,Organised,Organised,48,68,48,52,63,50,Organised,Organised,57,48,44,58,25,27,0
6/1/2014,Belgium,Sweden,2,0,Friendly,81,75,80,81,80,73,79,72,30,49,36,32,Organised,Organised,37,39,56,33,33,68,Organised,Organised,42,59,48,42,24,26,1
6/1/2014,Turkey,USA,1,2,Friendly,78,74,76,74,79,74,76,69,51,41,55,58,Organised,Organised,49,50,48,66,52,35,Organised,Organised,47,35,50,35,26,26,0
6/3/2014,Czech Republic,Austria,1,2,Friendly,75,74,73,72,74,76,73,73,47,37,50,53,Organised,Organised,56,37,53,38,52,49,Organised,Organised,44,37,47,34,27,26,0
6/3/2014,Switzerland,Peru,2,0,Friendly,77,72,74,77,77,69,76,70,48,50,52,51,Organised,Organised,51,50,48,35,43,65,Organised,Organised,45,45,47,55,25,26,1
6/4/2014,England,Ecuador,2,2,Friendly,80,72,83,72,79,74,79,67,54,50,56,50,Organised,Organised,67,50,56,65,51,50,Organised,Organised,47,55,43,35,25,27,0
6/4/2014,Netherlands,Wales,2,0,Friendly,79,73,84,70,77,75,74,72,57,60,34,44,Organised,Organised,62,46,55,53,39,40,Organised,Organised,55,53,57,48,25,26,1
6/6/2014,Greece,Bolivia,2,1,Friendly,74,63,74,69,72,55,75,63,52,33,56,30,Organised,Organised,60,32,51,29,52,49,Organised,Organised,37,45,24,34,27,25,1
6/6/2014,Portugal,Mexico,1,0,Friendly,80,75,82,79,79,73,80,75,55,53,31,54,Organised,Organised,52,58,30,68,48,40,Free Form,Organised,47,58,47,46,27,26,1
6/7/2014,Argentina,Slovenia,2,0,Friendly,82,72,86,70,81,73,79,71,32,51,39,53,Organised,Organised,36,67,41,66,68,50,Free Form,Organised,55,36,60,46,27,25,1
6/10/2014,Portugal,Ireland,5,1,Friendly,80,73,82,75,79,74,80,71,55,45,31,45,Organised,Organised,52,50,30,40,48,50,Free Form,Organised,47,40,47,40,27,28,1
6/13/2014,Chile,Australia,3,1,FIFA World Cup,76,69,76,75,75,69,73,67,62,39,42,59,Organised,Organised,50,78,65,22,54,30,Organised,Organised,44,39,35,34,27,26,1
6/13/2014,Cameroon,Mexico,0,1,FIFA World Cup,76,75,75,79,75,73,76,75,40,53,44,54,Organised,Organised,68,58,52,68,50,40,Organised,Organised,48,58,58,46,27,26,0
6/13/2014,Spain,Netherlands,1,5,FIFA World Cup,85,79,86,84,86,77,83,74,37,57,40,34,Organised,Organised,37,62,41,55,56,39,Free Form,Organised,50,55,37,57,27,25,0
6/14/2014,Colombia,Greece,3,0,FIFA World Cup,78,74,80,74,78,72,75,75,50,52,35,56,Organised,Organised,50,60,50,51,65,52,Organised,Organised,55,37,45,24,27,27,1
6/14/2014,Italy,England,2,1,FIFA World Cup,82,80,82,83,82,79,80,79,45,54,49,56,Organised,Organised,70,67,66,56,53,51,Organised,Organised,59,47,46,43,27,25,1
6/15/2014,Switzerland,Ecuador,2,1,FIFA World Cup,77,72,74,72,77,74,76,67,48,50,52,50,Organised,Organised,51,50,48,65,43,50,Organised,Organised,45,55,47,35,25,27,1
6/16/2014,Germany,Portugal,4,0,FIFA World Cup,84,80,82,82,85,79,81,80,63,55,40,31,Organised,Organised,48,52,48,30,63,48,Organised,Free Form,57,47,44,47,25,27,1
6/17/2014,Brazil,Mexico,0,0,FIFA World Cup,83,75,82,79,81,73,84,75,62,53,48,54,Organised,Organised,42,58,57,68,54,40,Organised,Organised,37,58,61,46,27,26,0
6/17/2014,Russia,Korea Republic,1,1,FIFA World Cup,77,71,78,70,77,71,75,69,45,66,45,57,Organised,Organised,74,50,70,78,49,45,Organised,Organised,47,48,47,61,26,25,0
6/18/2014,Netherlands,Australia,3,2,FIFA World Cup,79,69,84,75,77,69,74,67,57,39,34,59,Organised,Organised,62,78,55,22,39,30,Organised,Organised,55,39,57,34,25,26,1
6/18/2014,Spain,Chile,0,2,FIFA World Cup,85,76,86,76,86,75,83,73,37,62,40,42,Organised,Organised,37,50,41,65,56,54,Free Form,Organised,50,44,37,35,27,27,0
6/19/2014,Colombia,Ivory Coast,2,1,FIFA World Cup,78,77,80,79,78,77,75,76,50,66,35,49,Organised,Organised,50,73,50,59,65,53,Organised,Organised,55,51,45,51,27,26,1
6/19/2014,England,Uruguay,1,2,FIFA World Cup,80,78,83,83,79,76,79,76,54,75,56,55,Organised,Organised,67,32,56,50,51,67,Organised,Organised,47,46,43,31,25,28,0
6/20/2014,France,Switzerland,5,2,FIFA World Cup,81,77,82,74,80,77,80,76,48,48,36,52,Organised,Organised,52,51,49,48,52,43,Organised,Organised,46,45,36,47,25,25,1
6/22/2014,Belgium,Russia,1,0,FIFA World Cup,81,77,80,78,80,77,79,75,30,45,36,45,Organised,Organised,37,74,56,70,33,49,Organised,Organised,42,47,48,47,25,27,1
6/22/2014,Portugal,USA,2,2,FIFA World Cup,80,74,82,75,79,74,80,73,55,41,31,58,Organised,Organised,52,50,30,66,48,35,Free Form,Organised,47,35,47,35,27,26,0
6/23/2014,Spain,Australia,3,0,FIFA World Cup,85,69,86,71,86,70,83,65,37,39,40,59,Organised,Organised,37,78,41,22,56,30,Free Form,Organised,50,39,37,34,27,25,1
6/23/2014,Brazil,Cameroon,4,1,FIFA World Cup,83,76,82,76,81,72,84,76,62,40,48,44,Organised,Organised,42,68,57,52,54,50,Organised,Organised,37,48,61,58,27,25,1
6/23/2014,Netherlands,Chile,2,0,FIFA World Cup,79,76,84,76,76,75,75,71,57,62,45,42,Organised,Organised,52,50,55,65,39,54,Free Form,Organised,50,44,48,35,25,27,1
6/24/2014,Ivory Coast,Greece,1,2,FIFA World Cup,76,74,78,74,77,72,75,75,66,52,49,56,Organised,Organised,73,60,59,51,53,52,Organised,Organised,51,37,51,24,26,27,0
6/24/2014,Italy,Uruguay,0,1,FIFA World Cup,82,77,80,84,82,75,80,76,45,75,49,55,Organised,Organised,70,32,66,50,53,67,Organised,Organised,59,46,46,31,26,27,0
